ticket_id,created_date,ticket_text,product_name,product_segment,ticket_category,priority,sentiment,confidence_score,escalated,resolution_text,resolved_date,resolution_days,auto_resolved,customer_satisfaction_score
TKT100010,2024-03-24,The conditioner received in order #ORD3770370 has scratches and dents. Looks like a returned/used item.,conditioner,Beauty & Personal Care,Product Issue,High,Negative,0.79,Yes,Safety concern escalated on priority. Product recalled from customer.,2024-03-29,5,No,4
TKT100011,2023-12-05,Package for order #ORD2074176 containing rice was left outside and appears to have been stolen.,rice,Grocery & Health,Delivery Issue,High,Negative,0.73,Yes,Redelivery initiated with courier partner. Expected within 2 business days.,2023-12-06,1,No,2
TKT100012,2023-12-29,I returned my sunglasses via courier as instructed for order #ORD4594297 but the seller claims not received.,sunglasses,Fashion,Refund & Return,High,Very Negative,0.68,Yes,Exchange processed for correct size/variant. New item dispatched.,2024-01-02,4,No,4
TKT100013,2024-04-18,I can't add my new card to buy my air purifier. Getting error code ERR919 at checkout.,air purifier,Electronics,Payment Issue,Medium,Slightly Negative,0.79,No,Corrected GST invoice with accurate GSTIN issued and emailed.,2024-04-22,4,No,3
TKT100014,2024-02-15,I accidentally paid twice for my washing machine (order #ORD2642635). Second payment went through as well.,washing machine,Electronics,Payment Issue,High,Negative,0.82,Yes,Coupon issue escalated to promotions team. Manual discount of ₹9055 applied.,2024-02-16,1,No,2
TKT100015,2024-08-16,Pickup for my history textbook return (order #ORD5449368) was scheduled but no one came on the day.,history textbook,Books & Education,Refund & Return,Medium,Neutral,0.75,No,Refund of ₹7129 approved and will be credited within 3-5 business days.,2024-08-25,9,No,3
TKT100016,2024-02-18,My action figure from order #ORD1841248 appears to be counterfeit/fake. Not the original brand.,action figure,Toys & Games,Product Issue,High,Negative,0.85,Yes,Missing accessory shipped separately at no additional cost.,2024-02-19,1,No,2
TKT100017,2023-05-15,My running shoes from order #ORD2375453 appears to be counterfeit/fake. Not the original brand.,running shoes,Sports & Fitness,Product Issue,High,Very Negative,0.73,Yes,Defect acknowledged. Customer given choice of refund or replacement.,2023-05-21,6,No,3
TKT100018,2023-09-08,EMI option for my management book (order #ORD1156287) is showing wrong monthly amount. Please correct it.,management book,Books & Education,Payment Issue,High,Negative,0.97,No,Payment failure investigated. Order confirmed manually. No re-charge needed.,2023-09-11,3,No,3
TKT100019,2023-10-06,Delivery was done to a neighbor without my consent for order #ORD6075395 (tablet).,tablet,Electronics,Delivery Issue,Low,Neutral,0.9,No,Complaint escalated to logistics team. Full refund processed as compensation for delay.,2023-10-11,5,Yes,4
TKT100020,2024-10-14,My remote control drone from order #ORD5428914 has developed a defect within the warranty period.,remote control drone,Toys & Games,Product Issue,Medium,Neutral,0.76,No,Warranty claim initiated. Brand service center ticket #SVC16658 created.,2024-10-19,5,No,3
TKT100021,2024-01-09,The tablet received in order #ORD8175395 has scratches and dents. Looks like a returned/used item.,tablet,Electronics,Product Issue,High,Very Negative,0.69,Yes,Counterfeit product complaint escalated to brand protection team.,2024-01-16,7,No,1
TKT100022,2024-02-27,The price of sports shoes I ordered (#ORD5186414) was changed after I placed the order. This is not acceptable.,sports shoes,Fashion,Seller & Product Listing,High,Negative,0.94,No,Platform mediated the dispute. Refund of ₹9372 issued to customer.,2024-02-28,1,No,2
TKT100023,2023-12-25,The foundation in order #ORD7907400 is not compatible with my existing device as mentioned in the listing.,foundation,Beauty & Personal Care,Product Issue,Medium,Slightly Negative,0.72,No,Wrong variant issue confirmed. Correct item dispatched. Return arranged.,2023-12-30,5,No,3
TKT100024,2023-09-25,I got a partial refund for my spice set (order #ORD7685149) but I deserve a full refund for the defect.,spice set,Grocery & Health,Refund & Return,High,Negative,0.97,No,Return pickup scheduled for next business day. Refund post quality check.,2023-09-27,2,No,3
TKT100025,2023-01-02,"I'm getting conflicting tracking updates for my instant noodles order #ORD8290770. First delivered, then in transit.",instant noodles,Grocery & Health,Delivery Issue,Medium,Slightly Negative,0.74,No,Mis-delivery case raised. Correct address flagged for re-dispatch.,2023-01-11,9,No,5
TKT100026,2024-02-17,My programming book from order #ORD7110622 has developed a defect within the warranty period.,programming book,Books & Education,Product Issue,High,Negative,0.88,Yes,Safety concern escalated on priority. Product recalled from customer.,2024-02-23,6,No,3
TKT100027,2024-08-16,My resistance bands from order #ORD8053918 has developed a defect within the warranty period.,resistance bands,Sports & Fitness,Product Issue,High,Negative,0.75,Yes,Defect acknowledged. Customer given choice of refund or replacement.,2024-08-21,5,No,3
TKT100028,2024-11-19,My credit card EMI for RC car was cancelled midway. Now I'm being charged full amount.,RC car,Toys & Games,Payment Issue,High,Negative,0.93,No,Coupon issue escalated to promotions team. Manual discount of ₹2979 applied.,2024-11-22,3,No,2
TKT100029,2023-06-01,I want to permanently delete my account and all associated personal data from the platform.,smart AC,Electronics,Account & Login,Low,Positive,0.82,No,Subscription benefits restored after backend sync with billing team.,2023-06-02,1,No,4
TKT100030,2024-03-12,All my saved addresses were deleted from my account. I had 2 saved addresses.,science encyclopedia,Books & Education,Account & Login,Medium,Slightly Negative,0.86,No,Loyalty points restored after audit confirmed erroneous deduction.,2024-03-21,9,No,4
TKT100031,2023-10-20,The seller of shampoo (order #ORD8550917) is not responding to my messages for the past 14 days.,shampoo,Beauty & Personal Care,Seller & Product Listing,High,Negative,0.74,Yes,Seller warned and ticket escalated to seller performance team.,2023-10-22,2,No,3
TKT100032,2024-03-01,I need a refund for my wallet (order #ORD2351868) as I accidentally ordered duplicate.,wallet,Fashion,Refund & Return,Low,Positive,0.76,No,Refund credited to store wallet as per customer preference.,2024-03-02,1,No,4
TKT100033,2024-05-12,My loyalty/reward points (900 points) were deducted without any purchase from my side.,resistance bands,Sports & Fitness,Account & Login,High,Very Negative,0.72,Yes,Session persistence bug escalated to tech team. Temporary fix applied.,2024-05-13,1,No,4
TKT100034,2024-04-17,Pickup for my comic book series return (order #ORD3768991) was scheduled but no one came on the day.,comic book series,Books & Education,Refund & Return,Medium,Neutral,0.87,No,Duplicate charge of ₹8950 reversed immediately to original payment source.,2024-04-20,3,No,3
TKT100035,2023-02-23,The return window for my history textbook order #ORD4551070 was closed without my knowledge. Please make an exception.,history textbook,Books & Education,Refund & Return,High,Very Negative,0.81,Yes,Quality check review overridden. Refund of ₹5728 processed.,2023-02-26,3,No,2
TKT100036,2024-01-13,My foundation from order #ORD1520596 appears to be counterfeit/fake. Not the original brand.,foundation,Beauty & Personal Care,Product Issue,High,Very Negative,0.81,Yes,Counterfeit product complaint escalated to brand protection team.,2024-01-15,2,No,1
TKT100037,2023-04-15,Two accounts were created with the same email address. I need them merged.,heels,Fashion,Account & Login,Low,Neutral,0.68,No,Subscription benefits restored after backend sync with billing team.,2023-04-20,5,No,4
TKT100038,2024-03-19,Profile photo and bio updates are not saving on my account despite multiple attempts.,instant noodles,Grocery & Health,Account & Login,High,Very Negative,0.93,No,Account secured. All suspicious sessions terminated. 2FA enabled.,2024-03-22,3,No,4
TKT100039,2023-10-13,My sunscreen (order #ORD3955087) overheats dangerously. This is a serious safety concern.,sunscreen,Beauty & Personal Care,Product Issue,High,Negative,0.94,No,Full refund processed. Seller account flagged for quality investigation.,2023-10-17,4,No,2
TKT100040,2024-12-19,Profile photo and bio updates are not saving on my account despite multiple attempts.,rice,Grocery & Health,Account & Login,Low,Positive,0.77,No,Blocked account reviewed. Restored after confirming no policy violation.,2024-12-24,5,No,4
TKT100041,2023-04-06,Payment gateway crashes every time I try to checkout for moisturizer. Very frustrating experience.,moisturizer,Beauty & Personal Care,Payment Issue,Medium,Slightly Negative,0.8,No,Duplicate payment of ₹6857 refunded to original payment source within 2 days.,2023-04-11,5,No,3
TKT100042,2023-11-10,My store credit is not applying to my herbal tea order #ORD6137284. It shows balance but won't deduct.,herbal tea,Grocery & Health,Payment Issue,Low,Positive,0.89,No,Corrected GST invoice with accurate GSTIN issued and emailed.,2023-11-15,5,Yes,4
TKT100043,2024-09-03,I need to change the delivery address for my winter jacket order #ORD6294016 before it is dispatched.,winter jacket,Fashion,Delivery Issue,Low,Positive,0.9,No,Partial delivery issue resolved. Missing items shipped separately.,2024-09-08,5,Yes,4
TKT100044,2024-10-15,I cannot change my email address. The verification link expires before I can click it.,turmeric powder,Grocery & Health,Account & Login,Medium,Neutral,0.89,No,OTP delivery fixed. Mobile number updated successfully.,2024-10-23,8,No,3
TKT100045,2024-05-18,Bulk order of LEGO set (order #ORD5770422) was fulfilled partially. Seller says rest is out of stock.,LEGO set,Toys & Games,Seller & Product Listing,Medium,Slightly Negative,0.93,No,Seller listing flagged for review. Customer compensated with ₹7415 coupon.,2024-05-20,2,No,5
TKT100046,2024-04-06,My socks from order #ORD3545556 appears to be counterfeit/fake. Not the original brand.,socks,Fashion,Product Issue,High,Negative,0.91,No,Defect acknowledged. Customer given choice of refund or replacement.,2024-04-10,4,No,3
TKT100047,2023-03-18,Fake reviews on the air purifier I bought misled me into purchasing. Quality is very poor.,air purifier,Electronics,Seller & Product Listing,Medium,Neutral,0.73,No,Partial order issue resolved. Remaining items shipped or refunded.,2023-03-21,3,No,3
TKT100048,2024-11-08,Tax amount on makeup brush set (order #ORD8883823) invoice does not match what was shown at checkout.,makeup brush set,Beauty & Personal Care,Payment Issue,Medium,Neutral,0.96,No,Net banking failure confirmed with bank. Refund initiated from our end.,2024-11-12,4,No,4
TKT100049,2024-12-17,Package for order #ORD3499627 containing face wash was left outside and appears to have been stolen.,face wash,Beauty & Personal Care,Delivery Issue,High,Negative,0.69,Yes,Lost package claim filed. Refund of ₹1368 processed within 5-7 business days.,2024-12-21,4,No,3
TKT100050,2024-08-24,I can see a pending authorization of ₹852 for my men's t-shirt that is now days old. Please release.,men's t-shirt,Fashion,Payment Issue,Medium,Neutral,0.98,No,Net banking failure confirmed with bank. Refund initiated from our end.,2024-08-25,1,No,5
TKT100051,2023-12-23,Profile photo and bio updates are not saving on my account despite multiple attempts.,curtains,Home & Kitchen,Account & Login,Low,Positive,0.98,No,Saved addresses restored from backup. Customer notified.,2023-12-30,7,Yes,5
TKT100052,2023-11-28,I was charged twice for order #ORD3698193 (spice set). Please refund the duplicate payment immediately.,spice set,Grocery & Health,Refund & Return,High,Negative,0.68,Yes,Replacement dispatched without requiring return of defective item.,2023-11-29,1,No,4
TKT100053,2023-05-15,The gym bag I bought from a third-party seller in order #ORD8750676 is not as described. Seller is unresponsive.,gym bag,Sports & Fitness,Seller & Product Listing,High,Very Negative,0.72,Yes,Partial order issue resolved. Remaining items shipped or refunded.,2023-05-18,3,No,4
TKT100054,2024-04-17,The seller of gaming console (order #ORD3037191) is not responding to my messages for the past 12 days.,gaming console,Electronics,Seller & Product Listing,High,Negative,0.73,Yes,Seller warned and ticket escalated to seller performance team.,2024-04-18,1,No,2
TKT100055,2023-05-20,I need a corrected GST invoice for sunscreen order #ORD9537455. The current one has wrong GSTIN details.,sunscreen,Beauty & Personal Care,Payment Issue,Medium,Slightly Negative,0.96,No,EMI plan restored to original terms. Difference amount adjusted.,2023-05-22,2,No,4
TKT100056,2023-12-20,Account is showing a different name than what I registered with. Data integrity issue.,remote control drone,Toys & Games,Account & Login,Medium,Slightly Negative,0.8,No,Saved addresses restored from backup. Customer notified.,2023-12-26,6,No,5
TKT100057,2024-01-31,My loyalty/reward points (500 points) were deducted without any purchase from my side.,green tea,Grocery & Health,Account & Login,High,Very Negative,0.9,No,Session persistence bug escalated to tech team. Temporary fix applied.,2024-02-06,6,No,2
TKT100058,2024-02-24,I can't add my new card to buy my doll house. Getting error code ERR990 at checkout.,doll house,Toys & Games,Payment Issue,Medium,Neutral,0.66,No,Wallet deduction of ₹5638 reversed. Correct payment link resent.,2024-02-27,3,No,3
TKT100059,2024-07-08,UPI transaction for football order #ORD6680114 shows success on my app but order is not confirmed.,football,Sports & Fitness,Payment Issue,High,Negative,0.86,Yes,Payment authorization hold released. No amount was actually charged.,2024-07-09,1,No,1
TKT100060,2023-02-17,I returned formal shirt (order #ORD4816586) but received the wrong item back instead of a refund.,formal shirt,Fashion,Refund & Return,High,Negative,0.89,Yes,Refund of ₹1811 approved and will be credited within 3-5 business days.,2023-02-20,3,No,1
TKT100061,2024-09-26,I want to exchange my cap (order #ORD8225725) for a different size. Exchange option is missing.,cap,Fashion,Refund & Return,Low,Neutral,0.68,No,Exchange processed for correct size/variant. New item dispatched.,2024-09-30,4,No,5
TKT100062,2024-08-24,The science encyclopedia I ordered (#ORD4895475) has a different brand name than what was listed. Possible fraud.,science encyclopedia,Books & Education,Seller & Product Listing,High,Very Negative,0.68,Yes,Counterfeit complaint forwarded to brand protection and legal team.,2024-08-27,3,No,4
TKT100063,2023-10-09,Screen of my study table (order #ORD6068760) has dead pixels right out of the box.,study table,Home & Kitchen,Product Issue,High,Very Negative,0.66,Yes,Defect acknowledged. Customer given choice of refund or replacement.,2023-10-10,1,No,1
TKT100064,2023-11-13,The seller of bathroom accessories set (order #ORD5801541) is not responding to my messages for the past 11 days.,bathroom accessories set,Home & Kitchen,Seller & Product Listing,High,Very Negative,0.96,No,Seller warned and ticket escalated to seller performance team.,2023-11-20,7,No,4
TKT100065,2024-05-08,My formal shirt from order #ORD3204724 was delivered to the wrong address. I can see it on the map.,formal shirt,Fashion,Delivery Issue,High,Negative,0.93,No,Lost package claim filed. Refund of ₹5551 processed within 5-7 business days.,2024-05-15,7,No,3
TKT100066,2023-01-15,The comic book series in order #ORD2932227 is not compatible with my existing device as mentioned in the listing.,comic book series,Books & Education,Product Issue,Medium,Slightly Negative,0.68,No,Defect acknowledged. Customer given choice of refund or replacement.,2023-01-20,5,No,5
TKT100067,2024-12-18,My resistance bands from order #ORD5398338 was delivered to the wrong address. I can see it on the map.,resistance bands,Sports & Fitness,Delivery Issue,High,Negative,0.87,Yes,Delivery attempt verified false. Refund or re-shipment offered to customer.,2024-12-21,3,No,4
TKT100068,2024-03-05,I received a completely damaged eye cream in order #ORD1624315. The packaging was torn and the item is unusable.,eye cream,Beauty & Personal Care,Delivery Issue,High,Negative,0.78,Yes,Partial delivery issue resolved. Missing items shipped separately.,2024-03-10,5,No,2
TKT100069,2024-07-11,Seller of my jump rope (order #ORD9209880) shipped the item late by 6 days without any notice.,jump rope,Sports & Fitness,Seller & Product Listing,Medium,Neutral,0.68,No,Counterfeit complaint forwarded to brand protection and legal team.,2024-07-17,6,No,3
TKT100070,2024-08-01,I got a partial refund for my history textbook (order #ORD3049499) but I deserve a full refund for the defect.,history textbook,Books & Education,Refund & Return,High,Negative,0.73,Yes,Duplicate charge of ₹3674 reversed immediately to original payment source.,2024-08-03,2,No,1
TKT100071,2023-05-14,My account is blocked/suspended without any explanation. I have not violated any policy.,storage rack,Home & Kitchen,Account & Login,High,Negative,0.94,No,OTP delivery fixed. Mobile number updated successfully.,2023-05-19,5,No,3
TKT100072,2024-06-22,My Prime/subscription benefits are not showing despite having an active membership.,sunglasses,Fashion,Account & Login,Medium,Neutral,0.67,No,Session persistence bug escalated to tech team. Temporary fix applied.,2024-06-24,2,No,5
TKT100073,2023-03-04,I paid for express delivery on my heels order #ORD7074006 but it's been 9 days. Refund delivery charge.,heels,Fashion,Delivery Issue,High,Negative,0.87,Yes,Redelivery initiated with courier partner. Expected within 2 business days.,2023-03-08,4,No,4
TKT100074,2024-06-27,My wallet balance was deducted for UPSC preparation book order #ORD9225346 but order still shows payment pending.,UPSC preparation book,Books & Education,Payment Issue,High,Negative,0.78,Yes,Net banking failure confirmed with bank. Refund initiated from our end.,2024-06-30,3,No,4
TKT100075,2024-03-01,PhonePe payment for leather jacket order #ORD2663938 was debited but transaction shows failed on your end.,leather jacket,Fashion,Payment Issue,High,Negative,0.93,No,Cashback of ₹9232 credited after verification with offers team.,2024-03-07,6,No,1
TKT100076,2023-05-14,The return window for my yoga mat order #ORD5276341 was closed without my knowledge. Please make an exception.,yoga mat,Sports & Fitness,Refund & Return,High,Negative,0.9,No,Seller notified of return in transit. Refund released on priority basis.,2023-05-19,5,No,1
TKT100077,2023-04-17,The gym wear received in order #ORD6530541 has scratches and dents. Looks like a returned/used item.,gym wear,Fashion,Product Issue,High,Very Negative,0.85,Yes,Safety concern escalated on priority. Product recalled from customer.,2023-04-22,5,No,2
TKT100078,2024-09-20,Courier for order #ORD4762204 refused to deliver my heels to my floor without extra payment.,heels,Fashion,Delivery Issue,High,Negative,0.94,No,Express delivery charge refunded. Ticket closed after confirmation.,2024-09-26,6,No,1
TKT100079,2023-04-04,The kitchen knife set in order #ORD1485753 has no warranty card or any documentation included.,kitchen knife set,Home & Kitchen,Product Issue,Low,Neutral,0.7,No,Replacement kitchen knife set dispatched after quality team verification.,2023-04-13,9,No,4
TKT100080,2023-02-20,The quality check team rejected my sofa set return (order #ORD6719285) unfairly. Item has factory defect.,sofa set,Home & Kitchen,Refund & Return,High,Negative,0.7,Yes,Accidental order refund approved. Amount credited within 2 days.,2023-02-26,6,No,1
TKT100081,2023-02-16,My refund of ₹4674 for UPSC preparation book (order #ORD9148051) was credited to the wrong payment source.,UPSC preparation book,Books & Education,Refund & Return,Medium,Slightly Negative,0.83,No,Replacement dispatched without requiring return of defective item.,2023-02-20,4,No,4
TKT100082,2023-06-29,The mobile app keeps crashing when I try to view my wall clock cart.,wall clock,Home & Kitchen,App & Website Issue,Medium,Slightly Negative,0.65,No,Issue escalated to product team. Scheduled for next sprint fix.,2023-07-02,3,No,4
TKT100083,2024-02-19,My store credit is not applying to my energy drink order #ORD9393009. It shows balance but won't deduct.,energy drink,Grocery & Health,Payment Issue,Low,Positive,0.85,No,Net banking failure confirmed with bank. Refund initiated from our end.,2024-02-26,7,No,5
TKT100084,2023-11-14,My order #ORD6448705 for mattress hasn't arrived yet. It has been 14 days past the expected delivery date. This is unacceptable.,mattress,Home & Kitchen,Delivery Issue,Low,Positive,0.83,No,Mis-delivery case raised. Correct address flagged for re-dispatch.,2023-11-20,6,No,4
TKT100085,2023-07-22,How do I return my leather jacket from order #ORD2281433? It is defective and within the return window.,leather jacket,Fashion,Refund & Return,Low,Neutral,0.68,No,Replacement dispatched without requiring return of defective item.,2023-07-25,3,No,4
TKT100086,2024-04-25,I want to update my mobile number but OTP is not being received on new number.,science kit,Toys & Games,Account & Login,Medium,Slightly Negative,0.7,No,Account secured. All suspicious sessions terminated. 2FA enabled.,2024-05-03,8,No,5
TKT100087,2024-09-21,Refund status for energy drink order #ORD1942411 still shows processing after 10 business days.,energy drink,Grocery & Health,Refund & Return,Medium,Slightly Negative,0.68,No,Return pickup scheduled for next business day. Refund post quality check.,2024-10-01,10,No,5
TKT100088,2023-03-28,Store credit issued for cookbook return (order #ORD1688246) but I wanted cash refund to my bank.,cookbook,Books & Education,Refund & Return,Medium,Neutral,0.8,No,Seller notified of return in transit. Refund released on priority basis.,2023-04-06,9,No,5
TKT100089,2023-02-23,Package for order #ORD8344365 containing novel was left outside and appears to have been stolen.,novel,Books & Education,Delivery Issue,High,Very Negative,0.91,No,Express delivery charge refunded. Ticket closed after confirmation.,2023-03-02,7,No,3
TKT100090,2023-05-13,My tracking for order #ORD7485471 shows delivered but I never received my beard trimmer. Please investigate.,beard trimmer,Beauty & Personal Care,Delivery Issue,High,Negative,0.98,No,Mis-delivery case raised. Correct address flagged for re-dispatch.,2023-05-18,5,No,1
TKT100091,2023-08-08,Pickup for my ethnic wear return (order #ORD6510922) was scheduled but no one came on the day.,ethnic wear,Fashion,Refund & Return,Medium,Slightly Negative,0.77,No,Duplicate charge of ₹8823 reversed immediately to original payment source.,2023-08-14,6,No,4
TKT100092,2023-05-15,Order #ORD3599548 (electric toothbrush) is stuck in transit for 6 days. No movement on tracking at all.,electric toothbrush,Electronics,Delivery Issue,Medium,Neutral,0.95,No,Express delivery charge refunded. Ticket closed after confirmation.,2023-05-25,10,No,4
TKT100093,2023-11-13,Delivery was attempted for my novel (order #ORD3777286) but I was home. No notification was given.,novel,Books & Education,Delivery Issue,Medium,Slightly Negative,0.73,No,Delivery rescheduled as per customer's preferred slot. Partner notified.,2023-11-21,8,No,3
TKT100094,2023-09-14,Store credit issued for science encyclopedia return (order #ORD8391997) but I wanted cash refund to my bank.,science encyclopedia,Books & Education,Refund & Return,Medium,Neutral,0.92,No,Duplicate charge of ₹4815 reversed immediately to original payment source.,2023-09-15,1,No,5
TKT100095,2024-04-06,Buy Now Pay Later option for my gym wear is not available on checkout despite being eligible.,gym wear,Fashion,Payment Issue,Medium,Neutral,0.68,No,Coupon issue escalated to promotions team. Manual discount of ₹1573 applied.,2024-04-12,6,No,3
TKT100096,2023-02-09,I was charged ₹6525 extra on my yoga mat (order #ORD9422281) than what was shown in cart.,yoga mat,Sports & Fitness,Payment Issue,High,Very Negative,0.92,No,Wallet deduction of ₹6525 reversed. Correct payment link resent.,2023-02-12,3,No,4
TKT100097,2023-11-05,The children's storybook in order #ORD8870361 has visible manufacturing defects. Needs immediate replacement.,children's storybook,Books & Education,Product Issue,High,Negative,0.91,No,Missing accessory shipped separately at no additional cost.,2023-11-06,1,No,1
TKT100098,2024-09-21,Auto-return for robot vacuum order #ORD8669093 was triggered without my request. Please cancel it.,robot vacuum,Electronics,Refund & Return,High,Negative,0.75,Yes,Refund of ₹8388 approved and will be credited within 3-5 business days.,2024-09-24,3,No,2
TKT100099,2024-10-12,Product listing for turmeric powder is completely misleading. The actual product is nothing like the photos.,turmeric powder,Grocery & Health,Product Issue,Medium,Neutral,0.95,No,Replacement turmeric powder dispatched after quality team verification.,2024-10-19,7,No,4
TKT100100,2023-12-13,I want to return my electric kettle from order #ORD6991041 for a full refund. It does not match the description at all.,electric kettle,Electronics,Refund & Return,Medium,Slightly Negative,0.67,No,Quality check review overridden. Refund of ₹4149 processed.,2023-12-16,3,No,5
TKT100101,2024-02-12,I can see a pending authorization of ₹7697 for my handbag that is now days old. Please release.,handbag,Fashion,Payment Issue,Medium,Neutral,0.97,No,EMI plan restored to original terms. Difference amount adjusted.,2024-02-21,9,No,4
TKT100102,2024-01-31,I got a partial refund for my vitamin supplements (order #ORD5800144) but I deserve a full refund for the defect.,vitamin supplements,Grocery & Health,Refund & Return,High,Negative,0.95,No,Refund credited to store wallet as per customer preference.,2024-02-03,3,No,2
TKT100103,2024-11-07,I can see a pending authorization of ₹1552 for my face wash that is now days old. Please release.,face wash,Beauty & Personal Care,Payment Issue,High,Negative,0.68,Yes,Currency mismatch corrected. Differential amount of ₹1552 refunded.,2024-11-10,3,No,3
TKT100104,2024-01-08,PhonePe payment for UPSC preparation book order #ORD3795835 was debited but transaction shows failed on your end.,UPSC preparation book,Books & Education,Payment Issue,High,Very Negative,0.68,Yes,Cashback of ₹7524 credited after verification with offers team.,2024-01-13,5,No,2
TKT100105,2024-01-16,Product images for DSLR camera are not loading on the app. Showing broken icons.,DSLR camera,Electronics,App & Website Issue,Low,Neutral,0.88,No,Server-side fix deployed. Feature restored for all users.,2024-01-24,8,Yes,4
TKT100106,2024-12-21,My football from order #ORD7156398 makes unusual noise during operation from day one.,football,Sports & Fitness,Product Issue,Low,Neutral,0.74,No,Counterfeit product complaint escalated to brand protection team.,2024-12-29,8,No,4
TKT100107,2024-11-14,My cart items keep disappearing when I switch between the app and website.,bookshelf,Home & Kitchen,App & Website Issue,Medium,Slightly Negative,0.93,No,Server-side fix deployed. Feature restored for all users.,2024-11-20,6,No,5
TKT100108,2023-01-27,Delivery was done to a neighbor without my consent for order #ORD5871470 (body lotion).,body lotion,Beauty & Personal Care,Delivery Issue,Medium,Neutral,0.73,No,Delivery attempt verified false. Refund or re-shipment offered to customer.,2023-02-02,6,No,5
TKT100109,2024-04-05,Screen of my denim jeans (order #ORD3177199) has dead pixels right out of the box.,denim jeans,Fashion,Product Issue,High,Very Negative,0.98,No,Full refund processed. Seller account flagged for quality investigation.,2024-04-09,4,No,3
TKT100110,2024-12-27,Delivery was done to a neighbor without my consent for order #ORD4052834 (sunglasses).,sunglasses,Fashion,Delivery Issue,Medium,Neutral,0.71,No,Courier partner penalized for non-delivery. Fresh delivery arranged.,2024-12-31,4,No,4
TKT100111,2024-08-29,Payment page freezes when I try to checkout my men's t-shirt. Tried multiple times.,men's t-shirt,Fashion,App & Website Issue,Medium,Slightly Negative,0.82,No,App cache clear resolved the issue. Customer guided through fix.,2024-09-08,10,No,3
TKT100112,2024-05-24,"I'm getting conflicting tracking updates for my power bank order #ORD6664316. First delivered, then in transit.",power bank,Electronics,Delivery Issue,Medium,Neutral,0.86,No,Redelivery initiated with courier partner. Expected within 2 business days.,2024-06-02,9,No,4
TKT100113,2023-12-15,My lipstick (order #ORD9102469) smells strange and appears to have been used before. Not new.,lipstick,Beauty & Personal Care,Product Issue,Low,Positive,0.81,No,Missing accessory shipped separately at no additional cost.,2023-12-25,10,No,4
TKT100114,2023-04-10,The return window for my swimming goggles order #ORD6794356 was closed without my knowledge. Please make an exception.,swimming goggles,Sports & Fitness,Refund & Return,Low,Positive,0.8,No,Duplicate charge of ₹6269 reversed immediately to original payment source.,2023-04-11,1,No,5
TKT100115,2024-05-24,App update broke the order tracking feature. Can't track my foundation order #ORD8015136 anymore.,foundation,Beauty & Personal Care,App & Website Issue,Medium,Slightly Negative,0.82,No,Server-side fix deployed. Feature restored for all users.,2024-05-25,1,No,3
